,Text,Likes,Retweets,Date-Time,Date
49,"So many cool parts of this building: ice rink made from rainwater, powered by 100% renewable electricity, tickets that double as transit passes, etc. Excited to officially open the doors of @ClimateArena tomorrow. Congrats to @OakViewGroup &amp; all involved! https://t.co/dzVeBEK2Gk",326,31,2021-10-22 00:10:46+00:00,2021-10-22
50,"Cool video of @zoox all-electric, fully autonomous robotaxi. Amazon joined forces with Zoox last year and it’s been exciting to see their technology evolve. They’ve just started testing their L3 vehicles in Seattle…the rainy weather should be great training for the fleet and AI. https://t.co/b3I6W3dcSO",261,36,2021-10-20 21:45:40+00:00,2021-10-20
51,"Tonight's beginning for @SeattleKraken is long time in making...takes a village to bring new things to life, and this was no different. Pretty amazing team on + off ice...tonight is a new starting line for the Kraken-- giddy up! https://t.co/fbmsoi2uZW",262,13,2021-10-12 23:26:58+00:00,2021-10-12
52,"Josh’s pioneering work on Alexa’s Show &amp; Tell accessibility feature, which helps customers who are blind or visually impaired identify household items, is just one of the ways he’s made people’s lives better on a daily basis. Congrats on being named a MacArthur Fellow, Josh! https://t.co/2tQlMFAdl1",162,17,2021-09-29 13:58:31+00:00,2021-09-29
53,"Congrats to the Amazon Devices team on the array of amazing products announced today! And, thx for sneak peek on Astro…looking forward to customers getting a chance to benefit from a totally new kind of home robot. https://t.co/4b0MsbGcpI",542,71,2021-09-28 17:19:37+00:00,2021-09-28
54,"Really excited about today’s New World launch. More than 1 million people have been playing in Beta tests, and today, the rest of the world gets to fight for survival. https://t.co/btvzfFelwf",243,27,2021-09-28 15:24:37+00:00,2021-09-28
55,Excited about this… https://t.co/ThSdy3cefs,2105,116,2021-09-09 23:58:49+00:00,2021-09-09
56,Many folks have had situations that have gone awry and where you have to improvise...few have done it gracefully as what I'm watching tonight with Dave Matthews... https://t.co/LvuCt0I86W,827,33,2021-09-05 03:30:19+00:00,2021-09-05
57,"Thinking of communities in Louisiana following #HurricaneIda. Our Disaster Relief team sent trucks in &amp; is working w/ @SaveTheChildren…getting 140,000+ Amazon-donated aid supplies like water, hygiene products &amp; diapers to families today. More is on the way. https://t.co/4MjWAemEY1",407,35,2021-09-02 22:35:55+00:00,2021-09-02
58,"Excited to welcome job seekers around the world to Career Day in a few weeks, our big recruiting and training event. With over 55k jobs available globally, look forward to helping people learn more about these roles and launch their next chapters. https://t.co/RcsMCPha9e",259,67,2021-09-01 13:38:07+00:00,2021-09-01
59,"Today is the 15 year anniversary of EC2. Offering developers compute for $0.10/hr was pretty radical back in 2006, it's now become the norm and backbone for so many new and existing businesses. And, the #AWS team isn't close to being done innovating on EC2. Lots more to come.",1981,270,2021-08-24 16:04:04+00:00,2021-08-24
60,"RIP Rod Gilbert...an amazing player, a NY Ranger through and through, a class act, and an important figure in my childhood",128,5,2021-08-23 03:18:14+00:00,2021-08-23
61,"Seattle, we now have players on the @SeattleKraken :-). Very impressive work from GM @RonFrancis10 and his amazing Scouting and Analytics teams to assemble this initial Kraken squad…only 3 mos before we release the Kraken at @ClimateArena. https://t.co/wqqsfyS0CP",1124,109,2021-07-22 03:19:48+00:00,2021-07-22
