,Text,Likes,Retweets,Date-Time,Date
48,"In June 2020 we pledged to help 10 million people and businesses in Europe, the Middle East and Africa find jobs, digitize &amp; grow by the end of 2021. Excited to announce that we surpassed our goal, thanks to our many partners along the way! 
https://t.co/xlibam1tZK",1470,109,2022-01-26 10:11:45+00:00,2022-01-26
49,"Exciting to see all the recent momentum @YouTube,  including 5 trillion all time views on Shorts. Looking forward to what's ahead in 2022! https://t.co/XmSdjBLw0z",2137,118,2022-01-25 20:24:04+00:00,2022-01-25
50,"We can learn a lot about our environment just by listening to the birds. New #GoogleAI approaches can help isolate and identify birdsongs, helping ecologists better understand food systems and forest health. 🐦 
https://t.co/Va9kjPTHRj",1772,173,2022-01-24 19:20:53+00:00,2022-01-24
51,"Thank you to guest artist Olivia Fields for today's #GoogleDoodle honoring Dr. Martin Luther King, Jr. and his legacy. Olivia's artwork was inspired by MLK's timeless quote: ""the arc of the moral universe is long, but it bends toward justice."" #MLKDay 
https://t.co/TY2OA0EPYy",1545,119,2022-01-17 16:58:19+00:00,2022-01-17
52,"As part of our commitment to the UK’s growth &amp; success, we're excited to purchase our Central Saint Giles office in London and invest in creating a more flexible future workplace. Looking forward to having space for 10,000 Googlers across our UK sites! 
https://t.co/x7X9B4qtuG",2304,199,2022-01-14 06:03:27+00:00,2022-01-14
53,"Today we're sharing research from @StanfordMed on how the genome sequencing method we built with @ucscgenomics helped speed up identification of disease-causing variants, enabling faster NICU diagnoses. #GoogleAI
https://t.co/IhzBKa0oun",1373,181,2022-01-13 23:04:45+00:00,2022-01-13
54,"Securing the open source software ecosystem is a critical step in keeping people and their information safe online. Glad we could share recommendations with the @WhiteHouse and others as part of our ongoing partnership to strengthen cybersecurity. 
https://t.co/zmzAOFL8Ak",1007,125,2022-01-13 19:57:05+00:00,2022-01-13
55,"RT @JeffDean: As in past years, I've spent part of the holiday break summarizing much of the work we've done in @GoogleResearch over the la…",0,300,2022-01-12 03:01:57+00:00,2022-01-12
56,"Stephen Hawking had a huge influence on so many of us, really excited to celebrate him in a special animated #GoogleDoodle today on what would have been his 80th birthday. Grateful to the Hawking family for sharing insights into his humor, life and legacy. https://t.co/pSEAeEmALQ https://t.co/lpcXXpa4KO",6676,1042,2022-01-08 05:07:50+00:00,2022-01-08
57,"Though we can't be at #CES2022 IRL, excited to launch new features to help devices work better together: quickly set up, (un)lock devices, and get more done across Android &amp; Chrome. Fast Pair, Nearby Share &amp; more also coming to Windows PCs for the 1st time https://t.co/ou2dBzD7Q6",1996,192,2022-01-05 18:26:10+00:00,2022-01-05
58,Happy New Year! Wishing everyone good health and happiness in 2022! https://t.co/Pt9FyMMZQZ,24521,1463,2022-01-01 08:04:14+00:00,2022-01-01
59,"Merry Christmas! If you search for ""Christmas"" on Google you’ll find a 🎁 to help you track Santa:) https://t.co/H6P29890qY",6362,560,2021-12-24 18:32:57+00:00,2021-12-24
60,RT @demishassabis: Proud of our latest work applying AI to Quantum Chemistry published in @ScienceMagazine! The properties of materials lar…,0,200,2021-12-10 05:52:26+00:00,2021-12-10
