,Text,Likes,Retweets,Date-Time,Date
62,RT @Lindsay_Rae_M: Today we release @Microsoft’s 2021 Diversity and Inclusion Report. We are encouraged by our progress and recognize the w…,0,83,2021-10-20 23:01:11+00:00,2021-10-20
63,"In my annual letter to shareholders, I take a look back at our progress in this year of incredible challenge and an optimistic view of the incredible opportunity ahead. https://t.co/8p8CFxGoRb",896,115,2021-10-19 20:20:44+00:00,2021-10-19
64,RT @Microsoft: The @MSFTGarage is hacking creative culture on a global scale. Learn more about different Garage locations around the world…,0,67,2021-10-13 21:13:19+00:00,2021-10-13
65,"RT @Windows: From #GreenPC made from recycled materials, to 3D, you don’t want to miss the new @Acer Aspire Vero, ConceptD 7 SpatialLabs Ed…",0,91,2021-10-13 21:09:23+00:00,2021-10-13
66,"Having a comprehensive employee experience platform will be key to business success going forward. By bringing @Allydotio into Microsoft Viva, we will help employees bridge the gap between their everyday tasks and their employer’s most important objectives. https://t.co/FouuIRXWAz",582,112,2021-10-07 15:58:20+00:00,2021-10-07
67,"@MichaelDell @WalterIsaacson @RayDalio @ericschmidt @IndraNooyi @richardbranson @HowardSchultz @Benioff @sherylsandberg @McConaughey @Gladwell @AdamMGrant @pmarca @BillGates Congratulations on today’s book launch. Play Nice But Win is a great read for entrepreneurs, leaders, and dreamers.",123,9,2021-10-06 00:30:22+00:00,2021-10-06
68,"Windows 11 marks the start of a new generation of Windows, making it easier for anyone to dream big and turn their ideas into reality. We can’t wait to see what you create. https://t.co/kjhjGavXku",4370,772,2021-10-04 20:04:07+00:00,2021-10-04
69,National Disability Employment Awareness Month is an opportunity to reflect on the importance of empowering people with disabilities in the workplace. Thank you @jennylayfluffy for leading our #NDEAM celebrations. https://t.co/RWS2fakdHz,505,72,2021-10-01 15:49:54+00:00,2021-10-01
70,"Through our partnership with @Truveta, we are applying the power of Azure and its AI capabilities to help researchers and clinicians uncover insights that will improve health outcomes for people and communities around the globe. https://t.co/8m3tyZAzoj",473,59,2021-09-29 15:52:57+00:00,2021-09-29
71,"RT @scottgu: Comprehensive data management is critical for businesses worldwide. I am excited to announce the GA of Azure Purview, which he…",0,42,2021-09-28 16:45:53+00:00,2021-09-28
72,"RT @BradSmi: Access to broadband can mean access to jobs, information, education, and much more. It’s powerful. I’m inspired by how our @Mi…",0,28,2021-09-24 18:34:46+00:00,2021-09-24
73,"Surface has always been a catalyst for innovation across our entire ecosystem, and today we're building on that legacy, with the biggest update to our portfolio ever, as well as new innovations to build a more sustainable and accessible future for everyone. https://t.co/eOc5TahsKD",1209,139,2021-09-22 16:12:36+00:00,2021-09-22
74,Looking forward to sharing what’s next for Windows and devices. https://t.co/VsrPDgSQby,1575,177,2021-09-22 13:45:43+00:00,2021-09-22
