,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date
332,332,Silicon Valley is our home and we know the coming weeks will bring untold challenges for the many small businesses in our community. We are supporting #SiliconValleyStrong to help our neighbors get through these unprecedented times.,5868,592,2020-03-18 20:20:27+00:00,2020-03-18
333,333,"In our workplaces and communities, we must do all we can to prevent the spread of COVID-19. Apple will be temporarily closing all stores outside of Greater China until March 27 and committing $15M to help with worldwide recovery. https://t.co/ArdMA43cFJ",27029,8300,2020-03-14 06:43:35+00:00,2020-03-14
334,334,"Today we honor the women who drive us forward, and we celebrate the generations whose shoulders they stand on. Every woman deserves to be safe and treated equally. #InternationalWomensDay",6503,948,2020-03-08 14:47:50+00:00,2020-03-08
335,335,"RT @repjohnlewis: 55 years ago today, we were beaten, tear gassed, and trampled by horses. I thought I saw death. I thought I was going to…",0,39874,2020-03-07 21:52:16+00:00,2020-03-07
336,336,"To the scientists, the musicians, the athletes, the mothers, the entrepreneurs, the artists, the engineers, the teachers — the women of all generations who drive us forward and show girls everywhere that the future is limitless: We celebrate you. https://t.co/BfNhWOotDX",8577,1604,2020-03-04 16:55:09+00:00,2020-03-04
339,339,Perfect way to end a great day in Alabama. Always love seeing the Bham team at Apple The Summit! https://t.co/zw3O3bsJnz,5779,374,2020-02-28 01:34:05+00:00,2020-02-28
340,340,"Thank you to the students of Oxmoor Valley Elementary and the incredible teachers, principal and staff! Your podcasts and stories are a beautiful celebration of the Civil Rights Movement, and clear evidence that its legacy will always live on. https://t.co/2ZZF6OOWml",1954,169,2020-02-27 22:02:45+00:00,2020-02-27
341,341,"Coding lets students of all ages breathe life into new ideas, solve problems and prepare for the jobs of the future. Honored to join Birmingham’s students, teachers and visionary leaders in opening Ed Farm — a new education hub where students can connect, learn and create! https://t.co/4tbnuwzI9K",3299,398,2020-02-27 18:53:01+00:00,2020-02-27
342,342,"Katherine Johnson was a trailblazer, pushing us to greater heights above Earth with her work at NASA and inspiring generations of women and girls to follow in her footsteps. Our thoughts are with her family and friends as they mourn her passing. https://t.co/uYwiISu8XW",3328,419,2020-02-24 19:14:37+00:00,2020-02-24
343,343,"Thinking of Steve today on his birthday — his friendship, passion, and especially the laughter and joy he inspired. https://t.co/qPMHbzxCsQ",38986,6861,2020-02-24 13:43:35+00:00,2020-02-24
349,349,"Today, we remember the millions of lives lost. Tomorrow and always, we vow to reject cruelty so that it never happens again. “History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again.”— Maya Angelou #HolocaustRemembranceDay",5393,628,2020-01-27 15:15:10+00:00,2020-01-27
350,350,"Devastated and heartbroken by the passing of Kobe Bryant. I admired his athletic prowess from afar and his humanity close up. He was an original. Our thoughts and prayers are with his family, friends and fans. RIP.",25679,2667,2020-01-26 21:37:58+00:00,2020-01-26
351,351,"As people in China and around the world celebrate the Lunar New Year, we send our love and support to the many impacted by the Coronavirus. Apple will be donating to groups on the ground helping support all of those affected.",12503,1420,2020-01-25 12:42:56+00:00,2020-01-25
399,399,"The best apps can inspire us. They open new doors and can change our lives for the better. We’re thrilled to honor the best apps and games of 2019, celebrating developers large and small from all around the world. https://t.co/wL2yksuSvy",2544,362,2019-12-03 19:30:20+00:00,2019-12-03
400,400,“I’m still amazed at how life-changing one week of hard work at the Apple Entrepreneur Camp can be for a female CEO.” We’re so glad Entrepreneur Camp helps provide app creators like @RepaVictoria with the tools they need for their great ideas to thrive. https://t.co/6EAj1f3uUD,1729,188,2019-12-03 15:02:02+00:00,2019-12-03
401,401,Humanity has never faced a greater or more urgent threat than climate change — and it’s one we must face together. Apple will continue our work to leave the planet better than we found it and to make the tools that encourage others to do the same. https://t.co/26sTnleNep,4001,686,2019-12-02 15:33:58+00:00,2019-12-02
402,402,"Saddened to learn of Pat Sullivan’s passing. Pat exemplified the Auburn Creed: character, integrity, hard work. Pat touched the lives of so many young people that winning the Heisman Trophy was the least impressive thing he did. My thoughts &amp; prayers are with Pat’s family.",5216,438,2019-12-02 02:51:28+00:00,2019-12-02
403,403,"64 years ago today, Rosa Parks changed the course of history by refusing to give up her seat on a bus. In that one act, she stood for equality and justice for all of us. Proud to mark the moment with a visit to Montgomery, AL with @stevenlouisreed. https://t.co/L24UVvlbbw",7040,795,2019-12-01 20:05:13+00:00,2019-12-01
404,404,"This #WorldAIDSDay we mark our 13th year partnering with @RED to fight AIDS in Africa. Since 2006, our customers have helped us raise $220M. AIDS-related deaths have fallen by more than half since 2004. Together we can achieve an AIDS-free generation. https://t.co/h4wnIDGAmq",3787,621,2019-12-01 13:21:09+00:00,2019-12-01
405,405,"Congratulations @CoachGusMalzahn @AuburnFootball One for the ages—we will never, never forget.  We are proud of you.  War Eagle!",8052,831,2019-12-01 02:09:51+00:00,2019-12-01
429,429,Thank you to the visionary teams behind and in front of the camera that have brought the stories of Apple TV+ to life. We’re so excited to share the first of them with you today! https://t.co/ngxVFpNSrB,11884,1141,2019-11-01 18:40:09+00:00,2019-11-01
430,430,Look like future pros to me! Happy Halloween! https://t.co/6R9CRWkynC,35123,4503,2019-10-31 23:06:52+00:00,2019-10-31
431,431,Thrilled to see so much excitement for AirPods Pro all around the world! You’re going to love them. 🎶✈️🚇🏃‍♀️ https://t.co/oClOPhGEgX,10470,961,2019-10-30 16:33:39+00:00,2019-10-30
444,444,Florence is such a special place. It was great to visit with the team and our customers at Apple Firenze. Grazie! 🇮🇹 https://t.co/CILJzlpfjc,4878,300,2019-10-04 11:54:01+00:00,2019-10-04
445,445,"Quality journalism is crucial to all our lives, communities and wider society. Reassured by the passion and desire for truth shown by the students in Firenze tonight, and proud to work with Osservatorio Permanente to help students more accurately understand the world around them. https://t.co/kEWldIN7P9",2663,211,2019-10-03 22:11:19+00:00,2019-10-03
446,446,"Hermès is a timeless example of outstanding craftsmanship and a relentless commitment to excellence —  values we share deeply. Thank you Axel and Pierre-Alexis, it was a privilege to see your team at work today. https://t.co/owvSscuwE2",3660,304,2019-10-02 19:19:27+00:00,2019-10-02
447,447,🎼 @Newzik_App reimagined how orchestras read music — it’s a score on a different level. Thanks to their team and the musicians for showing how it all comes together with a marvelous performance! 🎻 https://t.co/dTARctjibC,1676,154,2019-10-02 17:01:46+00:00,2019-10-02
448,448,Apple Marché Saint-Germain is buzzing with so much creativity! Cool to see how @TyrsaMisu is using iPad Pro to transform his fresh and colorful designs into installations around the world. https://t.co/2BITZuPz3A,2431,175,2019-10-02 13:42:09+00:00,2019-10-02
485,485,"Heartbroken by the loss of my friend Giovanni Buttarelli, a visionary who advanced the cause of privacy in Europe and around the world. Our thoughts are with his family and all who loved him. Giovanni was a great man, and we are forever in his debt. https://t.co/euCLzqc95m",3449,385,2019-08-21 14:59:41+00:00,2019-08-21
498,498,"On this Monday morning, let us remember the wise and timeless words of MLK, “We must learn to live together as brothers or perish together as fools.”",7250,1237,2019-08-05 15:29:29+00:00,2019-08-05
499,499,I'm heartbroken about what's happening in my country. The definition of insanity is doing the same thing and expecting different results. It's time for good people with different views to stop finger pointing and come together to address this violence for the good of our country.,41852,7325,2019-08-04 14:53:10+00:00,2019-08-04
500,500,I'm heartbroken.  Praying for the victims and their families in Dayton.  Grateful for the speed and courage of the first responders.,6103,457,2019-08-04 14:36:33+00:00,2019-08-04
501,501,"Devastated to hear of today’s shooting in Texas. We pray for the victims and their families. Our team at Apple Cielo Vista and the entire El Paso community are close to our hearts, and we’re grateful to the first responders on the scene.",6440,684,2019-08-03 20:44:15+00:00,2019-08-03
502,502,The power of AR meets the creativity of the mind. We’re excited to announce [AR]T — a peek into the imaginations of seven contemporary art visionaries. Coming to #TodayAtApple beginning August 10. https://t.co/pTtYjx6LOy https://t.co/uf7MuEZPmG,3564,728,2019-07-30 13:55:37+00:00,2019-07-30
503,503,"Deeply saddened by the news of the shooting at the Gilroy Garlic Festival, a beloved community tradition in Northern California. Wishing strength and recovery to our neighbors in Gilroy, the victims and their families. Much gratitude to the first responders.",5437,674,2019-07-29 03:43:55+00:00,2019-07-29
528,528,"Forests are more than a natural resource—they’re a lifeline. It’s up to all of us to keep them safe. At Apple we are proud to support enough managed forests to cover all of our packaging needs for generations to come—including 36,000 acres here in the US. #WorldEnvironmentDay https://t.co/j7WEmDpZjl",3079,437,2019-06-05 23:23:17+00:00,2019-06-05
529,529,400 of my Apple coworkers are #Dreamers. They are proud Americans that contribute to our country and our company. I stand with them.  Thanks to the House for passing the #DreamAndPromiseAct.,5744,641,2019-06-05 21:50:38+00:00,2019-06-05
530,530,Sending wishes for a blessed and joyous #EidAlFitr celebration to families and friends observing around the world. Eid Mubarak!,8144,1326,2019-06-04 15:11:57+00:00,2019-06-04
531,531,This is Izabella’s first WWDC and she’s joining us all the way from Brazil. She’s focused on creating technology that helps women get into STEM and stay there. Obrigado Izabella! https://t.co/OZDP1ZTCH5,3086,366,2019-06-04 00:09:41+00:00,2019-06-04
532,532,"Pranav, 13, is from Vancouver, Canada. He recently started creating online video tutorials to help younger learners understand the fundamentals of Swift. https://t.co/Q1i73xIXgp",2554,195,2019-06-04 00:09:41+00:00,2019-06-04
533,533,"Ariana from Los Angeles just turned 18 and this is already her fourth WWDC! She co-founded her app Trill Project to shine a light on mental-health awareness, especially for LGBTQ+ youth, and over the last year it’s formed a community 35,000 members strong. https://t.co/hjT0eLZppv",1058,148,2019-06-04 00:09:40+00:00,2019-06-04
534,534,"Meet Rajvi, 14, and Raj, 16, from Chicago! Both siblings are passionate about designing games and are looking forward to using AR for their next creations. Raj already has three games available on the App Store! https://t.co/zgIEzfCx6V",916,116,2019-06-04 00:09:39+00:00,2019-06-04
535,535,We’re so impressed by the 300+ scholarship winners joining us at #WWDC19. These young people will change the world! I’d like to introduce you to a few of them:,4387,395,2019-06-04 00:09:39+00:00,2019-06-04
536,536,These are some of my favorite moments at Apple — watching years of teamwork and creativity come to life. Congratulations to everyone who played a role in the innovations we announced today! #WWDC19 https://t.co/mpvHT8GuZs,12947,1574,2019-06-03 22:33:26+00:00,2019-06-03
537,537,"It’s a great day for an Apple keynote! See you in a few hours, developers! #WWDC19 https://t.co/uoRhslrjH5",19626,3832,2019-06-03 13:05:44+00:00,2019-06-03
545,545,Congratulations @LisaPJackson! Thank you for your leadership on sustainability. https://t.co/rxCstFemnF,1395,134,2019-05-23 00:42:03+00:00,2019-05-23
546,546,"Thank you to all those who serve — past, present and future. We are grateful to you and your families for the sacrifices you make to keep our nation safe. #ArmedForcesDay",3841,350,2019-05-18 21:32:15+00:00,2019-05-18
547,547,"Music and food are the soul of New Orleans. Love seeing the gumbo of arts, learning and technology at the Ellis Marsalis Center for Music where community becomes family. https://t.co/YDk100ZZ3q",2763,231,2019-05-18 19:25:02+00:00,2019-05-18
548,548,Congratulations to the Tulane class of 2019! Thank you for inviting me to be a part of today’s festivities — ROLL WAVE! 💚🌊,2659,257,2019-05-18 17:59:01+00:00,2019-05-18
549,549,Thanks to the incomparable @ladygaga for helping make our celebration unforgettable. 🌈🎶 https://t.co/tgBJoBTzxo,14145,2270,2019-05-18 07:29:13+00:00,2019-05-18
550,550,"We came together today, in the home you imagined for us, and celebrated your spirit. We love you, Steve. https://t.co/5PccqcBi1c",20502,2593,2019-05-18 04:14:26+00:00,2019-05-18
555,555,Wishing a happy Mother’s Day to all the moms in our lives — at Apple and around the world. We celebrate and thank you for doing the most important job of all. ❤️#HappyMothersDay,8124,755,2019-05-12 13:40:53+00:00,2019-05-12
556,556,"Thanks @MayorBowser, our phenomenal team in Washington, D.C. and everyone who turned out for the grand opening of Apple Carnegie Library! https://t.co/7Q2YIF48tb",2923,274,2019-05-11 18:06:41+00:00,2019-05-11
563,563,"Thrilled to share the news about our new home in Washington, D.C. — Apple Carnegie Library, opening May 11. It’s an honor to continue the legacy of this beautiful building as a place where people seek knowledge and a sense of community. https://t.co/xI3Hi08y7m",7616,1028,2019-05-01 13:34:12+00:00,2019-05-01
564,564,"It breaks my heart to hear of more gunshots and bloodshed, this time at UNC Charlotte. North Carolina has always been a special place for me. Sending love and strength to the people of that great state tonight.",3528,389,2019-05-01 00:43:35+00:00,2019-05-01
565,565,新しい御代の幕開けに心からお祝い申し上げます。『令和』が日本の国に平和と繁栄をもたらす祝福された時代となるよう祈念致しております。🇯🇵 Congratulations on the beginning of the new era! We hope 令和 will be blessed with peace and prosperity for everyone in Japan.,17010,4970,2019-04-30 22:48:32+00:00,2019-04-30
593,593,https://t.co/x3OGOekxc0,62795,10114,2019-03-20 12:31:14+00:00,2019-03-20
594,594,"Proud to be supporting @NewsLitProject, @CommonSense and @opge to help students develop strong critical thinking skills and be better informed citizens. https://t.co/2PKjEWHeLD",1922,258,2019-03-19 23:05:31+00:00,2019-03-19
595,595,Better than ever. 🖥 https://t.co/tAITdojgil,11558,1963,2019-03-19 13:36:38+00:00,2019-03-19
631,631,"Starting and running a business is hard work. We’re thrilled to host these ambitious women, all talented app developers, as they grow their skills in everything from AR to marketing. They’re an inspiration to entrepreneurs everywhere! https://t.co/YayTa4GkFH",2783,401,2019-01-30 17:55:36+00:00,2019-01-30
632,632,We must keep fighting for the kind of world we want to live in. On this #DataPrivacyDay let us all insist on action and reform for vital privacy protections. The dangers are real and the consequences are too important.,6353,1259,2019-01-28 21:40:47+00:00,2019-01-28
643,643,Wishing you a New Year full of moments that enrich your life and lift up those around you. “What counts is not the mere fact that we have lived. It is what difference we have made to the lives of others that will determine the significance of the life we lead.” — Nelson Mandela,15489,2142,2019-01-01 15:42:43+00:00,2019-01-01
