,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
246,246,"Today, we’re launching the next generation of console gaming – with the Xbox Series X, our most powerful console ever, and Xbox Series S, which offers next-gen performance in our smallest console ever. https://t.co/kgYnHiJwdZ",3147,292,2020-11-10 18:17:22+00:00,2020-11-10,-4.434977380700344
249,249,"Microsoft Cloud for Healthcare is now available. It brings together capabilities from across our full tech stack to help enhance patient engagement, empower health team collaboration, and improve data insights. https://t.co/UgmqtpHAZf",1019,179,2020-10-28 20:46:13+00:00,2020-10-28,-3.3082413135044897
250,250,"Together with @C3_AI and @Adobe, we’re bringing to market a new class of industry-specific CRM solutions, powered by Dynamics 365, to help organizations digitize their operations and unlock real-time insights across their business. https://t.co/M8HNDroXjM",344,64,2020-10-26 18:47:23+00:00,2020-10-26,-3.3082413135044897
251,251,"RT @judsonalthoff: Customers like @Verizon, @PepsiCo, @MercedesBenzUSA &amp; @LandOLakesInc are embracing cloud-focused business strategies and…",0,44,2020-10-26 15:46:09+00:00,2020-10-26,-3.3082413135044897
261,261,What a beautiful example of how technology can help maintain human connection and time-honored traditions in the most difficult of circumstances. https://t.co/r2M60ceUuu,371,64,2020-10-12 20:54:45+00:00,2020-10-12,3.1796627579350867
262,262,"When we build AI, we must do so responsibly. We are expanding our efforts to ensure AI models are inclusive of all communities, including people with disabilities. https://t.co/Of6fytBaSO",843,136,2020-10-12 16:47:21+00:00,2020-10-12,3.1796627579350867
263,263,"@CarolBTome @JulieSweet @hansvestberg @cristianoamon @ChuckRobbins @e_cousens @GaryShapiro @ForestWhitaker Thanks, @CarolBTome. On days I get it right, I start my day with a run and end it with a good book. What are you doing to stay well, @Kevin_Johnson?",8,3,2020-10-10 03:29:49+00:00,2020-10-10,3.1796627579350867
276,276,"The case for tech intensity has never been more urgent, and we’re adding new capabilities across our tech stack to help every organization be resilient and transform in a world of unprecedented constraints. #MSIgnite https://t.co/YIFYtWM6y6",1202,276,2020-09-22 16:40:56+00:00,2020-09-22,2.7788162460822496
277,277,"Looking forward to #MSIgnite tomorrow, where we’ll be sharing how anyone can reach new heights with our platforms and tools. I hope you’ll join us! https://t.co/8NKc1xt7oF",1751,259,2020-09-21 22:11:48+00:00,2020-09-21,2.7788162460822496
278,278,"We must protect our most finite resource – the planet – by working towards a more sustainable future, which is why we’re announcing our commitment to be water positive by 2030. https://t.co/v6qlr1SlWe",1113,163,2020-09-21 19:09:50+00:00,2020-09-21,2.7788162460822496
279,279,"Three billion people look to gaming for entertainment, community, and achievement and our ambition is to empower each of them, wherever they play. Today is a step forward on that journey as we welcome the beloved studios and franchises of @Bethesda to @Xbox https://t.co/LENQCXTwBg",9636,1478,2020-09-21 13:03:17+00:00,2020-09-21,2.7788162460822496
280,280,"It was so much fun to throw the virtual first pitch at the Mariners game today, with the help of @DaveValleMLB, @Halo, and some of my Spartan friends. Go #Mariners! https://t.co/xoQwEkCP19",1810,175,2020-09-20 20:17:00+00:00,2020-09-20,2.7788162460822496
282,282,"What a great honor for the Fed Cup to be named after tennis trailblazer @BillieJeanKing. We’re partnering with Billie and the International Tennis Federation to apply technology to shape the future of the sport for coaches, players, and fans. https://t.co/FZkdK0N9dG",527,59,2020-09-17 17:14:09+00:00,2020-09-17,-2.6487421852105064
283,283,"This #HispanicHeritageMonth, we’re celebrating the tenacity and resilience of the Hispanic and Latinx community – and highlighting stories of their important contributions and enduring strength. https://t.co/7g9dOBJJfW",252,45,2020-09-16 22:48:47+00:00,2020-09-16,-2.6487421852105064
284,284,"Bill Gates Sr. is an important part of the Microsoft story; he helped shape our culture, played a vital role in our community, and influenced our philanthropic programs. We send our condolences to the Gates family and gratitude for Bill Sr.'s enduring legacy. https://t.co/Qu6FcumNa8",4343,400,2020-09-15 22:34:42+00:00,2020-09-15,-2.6487421852105064
289,289,"Congratulations to the grand prize winners of our hackathon! This year, we had more than 65,000 virtual participants – a testament to the dedication, ingenuity, and passion of our employees around the world. https://t.co/P7aou29oBL",1073,143,2020-09-01 22:08:16+00:00,2020-09-01,-3.46364479966762
299,299,Excited to partner with the @NBA to reimagine the game experience with Microsoft Teams Together mode. So fans can feel like they’re together from the safety of their homes and players experience the energy of cheering fans in the arena. https://t.co/nIKmRXlasl,1179,266,2020-07-24 20:27:57+00:00,2020-07-24,-3.074555435732229
300,300,RT @scottgu: .@Microsoft is excited to be working with @MSCI_Inc to help investors better optimize their clients’ performance capabilities…,0,27,2020-07-23 23:26:41+00:00,2020-07-23,-3.074555435732229
301,301,"RT @jennylayfluffy: As we kick off our celebration of #ADA30, sharing new videos series sharing simple things we can ALL do to be more incl…",0,52,2020-07-23 22:16:34+00:00,2020-07-23,-3.074555435732229
302,302,Reimagining our world together https://t.co/YfhwNRiZ00,901,170,2020-07-22 16:00:24+00:00,2020-07-22,-3.074555435732229
311,311,"We’re partnering with @Citrix to apply the power of Azure to reimagine how and where work gets done, helping customers seamlessly and securely connect their employees to their applications, so they can be more agile and productive wherever they are. https://t.co/sJirbQOJHL",1512,317,2020-07-14 18:16:27+00:00,2020-07-14,-2.7042352459451746
312,312,"RT @MicrosoftAU: Together with @NAB, we've announced a five-year multi-cloud partnership to co-design, develop and invest in NAB and BNZ's…",0,33,2020-07-14 01:32:35+00:00,2020-07-14,-2.7042352459451746
313,313,"Congratulations to each of our Microsoft Partner of the Year Award winners, finalists and nominees! Thank you for your ingenuity and commitment to empower our customers and have impact in your communities. https://t.co/cQDqZ9LsTl",1283,118,2020-07-13 20:12:01+00:00,2020-07-13,-2.7042352459451746
314,314,"Together with @Allscripts, we’re applying the power of our cloud to help transform healthcare, with smarter, more scalable technology for patients and providers. https://t.co/WXfL3RJyPF",503,88,2020-07-13 15:58:13+00:00,2020-07-13,-2.7042352459451746
316,316,"Together with @Adobe, we’re expanding our work with @WBA_Global, applying the power of Dynamics 365 to deliver more engaging and personalized omnichannel experiences for their customers around the world. https://t.co/KSrML0WRuM",287,52,2020-06-30 20:33:59+00:00,2020-06-30,2.565813812843976
317,317,"COVID-19 has created both a public health and an economic crisis, and as the world recovers, we need to ensure no one is left behind. https://t.co/hfQ2tOdMhQ",1600,518,2020-06-30 16:11:35+00:00,2020-06-30,2.565813812843976
322,322,Happy Pride Month! We’re expanding our commitment to non-profits fighting for LGBTQI+ equity and also sharing new ways for anyone to show their pride. https://t.co/ghmvZFBxu9,599,87,2020-06-16 20:08:33+00:00,2020-06-16,3.257491798073797
