,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
326,326,"Android 11 is now available in beta, with a focus on people, controls and safety. https://t.co/CrTkzqAKJM",5151,675,2020-06-11 05:44:05+00:00,2020-06-11,-2.634662450541725
337,337,"We've re-engineered Google Meet to make secure video meetings free for everyone, with helpful features powered by #GoogleAI like live captions and low-light mode, available now at https://t.co/LBamANQz98
https://t.co/85IVc78W3n",5905,1260,2020-05-12 17:01:35+00:00,2020-05-12,-2.7072188051418866
338,338,RT @MountSinaiNYC: .@MountSinaiNYC has teamed up with @GoogleNest to use the latest in video and audio technologies to monitor some of the…,0,73,2020-05-11 22:25:55+00:00,2020-05-11,-2.7072188051418866
346,346,#DearClassof2020: looking forward to celebrating you and your achievements on June 6th! https://t.co/ayo2rGZkPc https://t.co/ojfFGxVbGR,2030,373,2020-05-05 20:07:00+00:00,2020-05-05,3.2650529380669147
347,347,RT @rosterloh: We've been helping to facilitate the production of ventilators at Alphabet; this is one of our projects to try to help.  htt…,0,44,2020-05-04 21:24:02+00:00,2020-05-04,3.2650529380669147
348,348,"RT @LorraineTwohill: More grateful than ever for the teachers in my life, including my dad and sisters. Proud of @googleforedu, @drakenic,…",0,33,2020-05-04 16:52:47+00:00,2020-05-04,3.2650529380669147
349,349,Thank you to teachers everywhere working tirelessly to support their students in these tough times &amp; always. This #TeacherAppreciationWeek @Googleorg is providing a grant to @DonorsChoose to help support teachers &amp; students in underserved communities. https://t.co/An0IsAek73 https://t.co/AgDV27gsgj,2138,308,2020-05-04 13:33:38+00:00,2020-05-04,3.2650529380669147
350,350,Starting May 29 @YouTube will be hosting a 10-day digital film festival co-curated by over 20 international film festivals to help raise funds for #COVID19 relief efforts. All programming will be free to audiences around the world. #WeAreOne https://t.co/s3gW4pdF6y,2450,581,2020-04-27 20:00:20+00:00,2020-04-27,6.828247701286738
357,357,RT @WSJ: Anthony Fauci and Deborah Birx belong to a generation of physicians whose professional lives are bookended by two lethal viruses.…,0,169,2020-04-12 22:31:38+00:00,2020-04-12,4.48255270755098
358,358,"Andrea Bocelli performs Live from Duomo di Milano with a message of love, healing and hope. Happy Easter! 
https://t.co/s4FXfjWNho",2845,406,2020-04-12 17:24:50+00:00,2020-04-12,4.48255270755098
363,363,"For students with disabilities, the transition to distance learning can be especially challenging. We’re sharing tips from special education experts and our Chromebook Accessibility team to help educators create inclusive virtual classrooms for all students. https://t.co/0ggDRFNChx",2102,379,2020-04-07 17:31:17+00:00,2020-04-07,3.553061828646231
364,364,"Starting today, we're launching a #GoogleDoodle series to honor many of those on the front lines in the fight against #COVID19. Today's doodle is dedicated to the public health workers and researchers in the scientific community - on behalf of all of us, thank you. https://t.co/3mgl0NHinp",8716,1399,2020-04-06 16:18:55+00:00,2020-04-06,5.555479821232634
367,367,"Proud to work with @GavinNewsom &amp; partners to help bridge the digital divide in our home state. We’re providing 4,000 Chromebooks to California students in greatest need &amp; free wifi to 100,000 rural households during the #COVID19 crisis to make distance learning more accessible.",4779,606,2020-04-01 19:43:12+00:00,2020-04-01,-3.775126881799751
368,368,"@TracyGreenBC Thanks for the idea, will pass along to the team!",643,18,2020-04-01 04:12:48+00:00,2020-04-01,-3.775126881799751
369,369,"Proud we're partnering with @CommonSense on https://t.co/QyX2F375SM to help connect educators, students and families to educational resources as they navigate the challenges of learning from home https://t.co/e5MSdFsKxz",1094,237,2020-03-31 19:32:51+00:00,2020-03-31,2.695277825019149
370,370,"To help those working to combat #COVID19, we’re making a hosted repository of public datasets including those from @JohnsHopkins, @WorldBank &amp; @OpenStreetMap, free to access and query through the COVID-19 Public Datasets Program. 
https://t.co/o53GXBugbp
https://t.co/mXI4oWokKc",2434,879,2020-03-30 16:03:56+00:00,2020-03-30,2.695277825019149
